dataset.x,location,param,date,sample_time,replicate,value,flag,detection_limit,unit,datasets.x,dataset.y,selector,analyte,modifiers,datasets.y,analysis_code,column,national_variable_code,variable_type,description,national_method_code,method_title,vmv_code,dataset,label,site_type,longitude,latitude,province,station_name,datasets,drainage_basin,elevation_m,lake_area_ha,basin_area_km2,flushing_rate,shorelength_km,max_eff_length_km,max_eff_width_km,max_depth_m,mean_depth_m,data_url
water_ns,NS01ED0101,110707,2016-10-31,12:00:00,1,8,NA,5,REL UNITS,nltwqm,water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Beaverskin Lake,Lake,-65.3331,44.3078,NS,BEAVERSKIN LAKE IN MIDDLE OF WEST PART OF LAKE,"lrtap, nltwqm",Mersey River,120,39.5,1,1,5,0.7,0.6,6.3,2.2,NA
water_ns,NS01ED0101,110707,2017-06-07,14:56:00,1,16,NA,5,REL UNITS,nltwqm,water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Beaverskin Lake,Lake,-65.3331,44.3078,NS,BEAVERSKIN LAKE IN MIDDLE OF WEST PART OF LAKE,"lrtap, nltwqm",Mersey River,120,39.5,1,1,5,0.7,0.6,6.3,2.2,NA
water_ns,NS01ED0101,110707,2017-08-16,11:27:00,1,16,NA,5,REL UNITS,nltwqm,water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Beaverskin Lake,Lake,-65.3331,44.3078,NS,BEAVERSKIN LAKE IN MIDDLE OF WEST PART OF LAKE,"lrtap, nltwqm",Mersey River,120,39.5,1,1,5,0.7,0.6,6.3,2.2,NA
water_ns,NS01ED0101,110707,2017-10-24,12:00:00,1,7,NA,5,REL UNITS,nltwqm,water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Beaverskin Lake,Lake,-65.3331,44.3078,NS,BEAVERSKIN LAKE IN MIDDLE OF WEST PART OF LAKE,"lrtap, nltwqm",Mersey River,120,39.5,1,1,5,0.7,0.6,6.3,2.2,NA
water_ns,NS01ED0101,110707,2018-06-15,10:45:00,1,23,NA,5,REL UNITS,nltwqm,water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Beaverskin Lake,Lake,-65.3331,44.3078,NS,BEAVERSKIN LAKE IN MIDDLE OF WEST PART OF LAKE,"lrtap, nltwqm",Mersey River,120,39.5,1,1,5,0.7,0.6,6.3,2.2,NA
water_ns,NS01ED0101,110707,2018-08-22,13:16:00,1,8,NA,5,REL UNITS,nltwqm,water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Beaverskin Lake,Lake,-65.3331,44.3078,NS,BEAVERSKIN LAKE IN MIDDLE OF WEST PART OF LAKE,"lrtap, nltwqm",Mersey River,120,39.5,1,1,5,0.7,0.6,6.3,2.2,NA
water_ns,NS01ED0101,110707,2018-10-23,12:00:00,1,15,NA,5,REL UNITS,nltwqm,water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Beaverskin Lake,Lake,-65.3331,44.3078,NS,BEAVERSKIN LAKE IN MIDDLE OF WEST PART OF LAKE,"lrtap, nltwqm",Mersey River,120,39.5,1,1,5,0.7,0.6,6.3,2.2,NA
water_ns,NS01ED0101,110707,2019-06-19,09:11:00,1,27,NA,5,REL UNITS,nltwqm,water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Beaverskin Lake,Lake,-65.3331,44.3078,NS,BEAVERSKIN LAKE IN MIDDLE OF WEST PART OF LAKE,"lrtap, nltwqm",Mersey River,120,39.5,1,1,5,0.7,0.6,6.3,2.2,NA
water_ns,NS01ED0101,110707,2019-08-18,12:03:00,1,15,NA,5,REL UNITS,nltwqm,water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Beaverskin Lake,Lake,-65.3331,44.3078,NS,BEAVERSKIN LAKE IN MIDDLE OF WEST PART OF LAKE,"lrtap, nltwqm",Mersey River,120,39.5,1,1,5,0.7,0.6,6.3,2.2,NA
water_ns,NS01ED0101,2011,2000-05-16,12:00:00,1,11,NA,NA,REL UNITS,nltwqm,water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",2011_02,COLOUR APPARENT_REL UNITS_2011_02,437,Physical,relative unit,24,True and apparent colour - visual comparison with standard colour solutions (Cobalt),2011,water_ns,Beaverskin Lake,Lake,-65.3331,44.3078,NS,BEAVERSKIN LAKE IN MIDDLE OF WEST PART OF LAKE,"lrtap, nltwqm",Mersey River,120,39.5,1,1,5,0.7,0.6,6.3,2.2,NA
water_ns,NS01ED0101,2011,2000-09-18,12:00:00,1,5,<,5,REL UNITS,nltwqm,water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",2011_02,COLOUR APPARENT_REL UNITS_2011_02,437,Physical,relative unit,24,True and apparent colour - visual comparison with standard colour solutions (Cobalt),2011,water_ns,Beaverskin Lake,Lake,-65.3331,44.3078,NS,BEAVERSKIN LAKE IN MIDDLE OF WEST PART OF LAKE,"lrtap, nltwqm",Mersey River,120,39.5,1,1,5,0.7,0.6,6.3,2.2,NA
